,alpha,b,gamma,epsilon,delta
296,20,2,0.08999999999999998,50,0.003
297,20,2,0.08999999999999998,50,0.002
298,20,2,0.08999999999999998,30,0.004
299,20,2,0.08999999999999998,30,0.003
300,20,2,0.08999999999999998,40,0.001
301,20,2,0.08999999999999998,30,0.002
302,20,2,0.08999999999999998,30,0.001
303,20,2,0.08999999999999998,20,0.003
304,20,2,0.08999999999999998,20,0.001
305,20,2,0.08999999999999998,20,0.002
306,20,2,0.08999999999999998,10,0.004
307,20,2,0.08999999999999998,20,0.004
308,20,2,0.08999999999999998,10,0.003
309,20,2,0.08999999999999998,10,0.001
310,20,2,0.08999999999999998,10,0.002
311,20,2,0.06999999999999999,50,0.003
312,20,2,0.06999999999999999,50,0.004
313,20,2,0.06999999999999999,40,0.004
314,20,2,0.06999999999999999,50,0.001
315,20,2,0.06999999999999999,40,0.002
316,20,2,0.06999999999999999,50,0.002
317,20,2,0.06999999999999999,40,0.003
318,20,2,0.06999999999999999,40,0.001
319,20,2,0.06999999999999999,30,0.003
